genus_species,dispersal_mode,fruit_color,fruit_length_width,seed_size,average_height,leaf_area,wood_density,spinescence,growth_rate,longevity
apodytes_dimidiata,local knowledge,MBG voucher,MBG voucher,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
cassinopsis_madagascariensis,,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
ilex_mitis,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
polyscias_ariadnes,Razafindratsima and Dunham 2016a,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
polyscias_myrsine,local knowledge,,,,this study,Razafindratsima unpbl. Data,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
polyscias_ornifolia_2,local knowledge,MBG voucher,MBG voucher,MBG voucher,this study,Razafindratsima unpbl. Data,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
polyscias_tripinnata,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
polyscias_ornifolia_3,local knowledge,,,,this study,,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
schefflera_longipedicellata,,Hemingway 1996,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
pittosporum_verticillatum_1,,Wright unbpl. Data,,,this study,,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
melanophylla_crenata,Razafindratsima et al. 2014 ,Razafindratsima unpbl. Data,MBG voucher,Wright unpb. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
apodocephala_pauciflora,Razafindratsima unpbl. Data,MBG voucher,MBG voucher,,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
brachylaena_merana,Razafindratsima unpbl. Data,MBG voucher,MBG voucher,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
brachylaena_ramiflora,Razafindratsima unpbl. Data,MBG voucher,MBG voucher,,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
distephanus_garnieranus,Razafindratsima unpbl. Data,Razafindratsima unpbl. Data,MBG voucher,,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
oncostemum_botryoides,"Overdorff 1993, White et al. 1995, Dew and Wright 1998, Razafindratsima et al. 2014",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
oncostemum_leprosum,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
oncostemum_nervosum,"Overdorff 1993, Razafindratsima et al. 2014, and Razafindratsima and Dunham 2016a",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
oncostemum_palmiforme,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
diospyros_gracilipes_var_lecomtei,Razafindratsima et al. 2014 ,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
chrysophyllum_boivinianum,"White et al. 1995, Dew and Wright 1998, Razafindratsima et al. 2014",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
sideroxylon_betsimisarakum,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,MBG voucher,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
abrahamia_ditimena_1,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
abrahamia_oblongifolia,Razafindratsima and Dunham 2016b,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
abrahamia_sp,Razafindratsima and Dunham 2016b,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
abrahamia_sp_2,Razafindratsima and Dunham 2016b,Hemingway 1996,MBG voucher,Hemingway 1996,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
abrahamia_thouvenotii,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
micronychia_macrophylla,"Overdorff 1993, White et al. 1995",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
canarium_madagascariensis,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
zanthoxylum_madagascariensis,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
allophylus_cobbe,"Overdorff 1993, Razafindratsima et al. 2014, and Razafindratsima and Dunham 2016a",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
beguea_apetala,local knowledge,MBG voucher,MBG voucher,MBG voucher,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
deinbollia_neglecta,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
doratoxylon_stipulatum,Wright unbpl. Data,Wright unbpl. Data,Wright unpbl. Data,Wright unpb. Data,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
macphersonia_gracilis,Razafindratsima and Dunham 2016b,MBG voucher,MBG voucher,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
plagioscyphus_louvelii,Razafindratsima and Dunham 2016a,MBG voucher,MBG voucher,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
plagioscyphus_sp,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
tina_coursii,local knowledge,MBG voucher,MBG voucher,Hemingway 1996,this study,,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
tina_striata,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
dombeya_acerifolia,Razafindratsima unpbl. Data,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
dombeya_antsihanakensis,Razafindratsima unpbl. Data,,,,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
dombeya_dichotomopsis,Razafindratsima and Dunham 2016a ,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
dombeya_hilsembergii,Razafindratsima unpbl. Data,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
dombeya_lucida,Razafindratsima and Dunham 2016a ,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
dombeya_sp_2,Razafindratsima unpbl. Data,,,,this study,,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
dombeya_sp_3,Razafindratsima unpbl. Data,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
grewia_brideliifolia,Razafindratsima and Dunham 2016a ,Razafindratsima unpbl. Data,MBG voucher,Wright unpb. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
grewia_sp,Razafindratsima unpbl. Data,Razafindratsima unpbl. Data,MBG voucher,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
aphloia_theiformis,"Overdorff 1993, Razafindratsima et al. 2014 ",Razafindratsima unpbl. Data,Razafindratsima unbpl.data,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
eugenia_louvelii,Razafindratsima and Dunham 2016b,Dew and Wright 1998,,Dew and Wright 1998,this study,,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
syzygium_bernieri_1,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
syzygium_bernieri_2,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
syzygium_emirnense,"Overdorff 1993, White et al. 1995, Razafindratsima et al. 2014",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
syzygium_jambos,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
syzygium_parkeri,"Dew and Wright 1998, Razafindratsima et al. 2014",MBG voucher,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,this study,,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
syzygium_parkeri_1,Razafindratsima and Dunham 2016a ,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
