genus_species,dispersal_mode,fruit_color,fruit_length_width,seed_size,average_height,leaf_area,wood_density,spinescence,growth_rate,longevity
macaranga_myriolepida,Razafindratsima and Dunham 2016b,"Hemingway 1996, MBG voucher",Wright unpbl. Data,Wright unpb. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
macaranga_sp,,,,,this study,,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
calophyllum_drouhardii,local knowledge,MBG voucher,MBG voucher,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
calophyllum_paniculatum,Razafindratsima and Dunham 2016a,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
garcinia_aphanophlebia,local knowledge,MBG voucher,MBG voucher,Wright unpb. Data,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
garcinia_goudotiana,"Overdorff 1993, Razafindratsima et al. 2014 ",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
harungana_madagascariensis,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
mammea_bongo,Razafindratsima et al. 2014 ,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
mammea_vatoensis,"Dew and Wright 1998, Razafindratsima et al. 2014",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Dew and Wright 1998,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
symphonia_gymnoclada,"Overdorff 1993, Razafindratsima and Dunham 2016a",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
homalium_albiflorum,,,,,this study,,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
